Country Name,CO2_emissions,health_spending,GNI,DPT_vax,Measles_vax,HIV_incidence,TB_incidence,life_expectancy,cell_subs,safe_water_pct,safe_sanitation_pct,poverty_rate
Luxembourg,15.09216281,5870.35498,72410.0,99.0,99.0,0.9936923076923078,6.2,82.09512195,134.1420148,99.48274029999999,96.72498505,0.3
"Macao SAR, China",4.140249228967392,1449.1322523124295,112320.0,87.67213114754098,87.0327868852459,0.9936923076923078,70.0,83.98899999999999,328.7904463,99.97875,63.33450637,4.530555555555556
Madagascar,0.13687642,86.85874939,1540.0,74.0,60.0,0.37,233.0,66.311,34.14284,18.52658287,9.407308361,4.530555555555556
Malawi,0.084888716,121.00483700000001,1420.0,88.0,83.0,3.42,162.0,63.278999999999996,43.98651266,72.09441406816394,23.45407277,4.530555555555556
Malaysia,7.165808462,1114.6872560000002,25910.0,99.0,93.0,0.25,94.0,75.828,136.1163217,93.67531965,75.86281624,4.530555555555556
Maldives,3.6664128380000003,1347.387939,16630.0,99.0,99.0,0.9936923076923078,34.0,78.325,181.32884230000002,72.09441406816394,57.94876916857851,4.530555555555556
Mali,0.272789703,91.17798615,2170.0,77.0,70.0,0.44,55.0,58.452,119.0233265,72.09441406816394,17.82759777,4.530555555555556
Malta,3.2478701880000003,3891.494385,38300.0,98.0,91.0,0.9936923076923078,11.0,82.34634146,138.093955,99.99999695,91.86797469,0.2
Mauritania,0.887315176,181.2558289,5000.0,81.0,78.0,0.9936923076923078,97.0,64.464,95.13345958,72.09441406816394,57.94876916857851,4.530555555555556
Mauritius,3.305359031,1278.0935060000002,23540.0,94.0,89.0,1.34,12.0,74.51463415,145.4726338,72.09441406816394,57.94876916857851,0.2
Mexico,3.781215828,1071.986084,19210.0,85.0,76.0,0.27,23.0,74.947,91.62670695,42.67933349,50.058720799999996,4.530555555555556
"Micronesia, Fed. Sts.",1.525197154,426.59359739999996,3960.0,73.0,76.0,0.9936923076923078,156.0,67.618,20.73767035,72.09441406816394,57.94876916857851,4.530555555555556
Moldova,2.9617176219999997,481.33169560000005,12320.0,88.0,93.0,0.5,95.0,71.717,92.28905501,73.10522762,57.94876916857851,0.1
Mongolia,6.252834169,512.3093262,9720.0,99.0,99.0,0.03,428.0,69.509,124.805205,28.98186484,51.49591845,4.530555555555556
Montenegro,3.583060319,1449.1322523124295,20090.0,87.0,58.0,0.07,14.0,76.667,166.4651995,84.88910844,43.33861243,4.530555555555556
Morocco,1.852941845,439.5994263,7170.0,99.0,99.0,0.04,100.0,76.218,123.4247246,75.21948627,38.37603783,4.530555555555556
Mozambique,0.210129447,110.517334,1250.0,88.0,87.0,8.24,361.0,59.309,41.45170351,72.09441406816394,57.94876916857851,4.530555555555556
